Symbol,Name,NumAppearances,Holders
MRK,Merck & Co Inc,28,"[('FTXH', 0.081), ('IEIH', 0.058), ('PPH', 0.053), ('DJD', 0.051), ('HART', 0.05)]"
TXN,Texas Instruments Inc,28,"[('FTXL', 0.078), ('SOXQ', 0.077), ('USD', 0.061), ('SOXL', 0.058), ('SHE', 0.051)]"
VALE3.SA,Vale SA,28,"[('EWZ', 0.19), ('FLBR', 0.155), ('FLLA', 0.105), ('DEM', 0.082), ('PICK', 0.064)]"
FGXXX,First American Government Obligs X,28,"[('CANE', 1028.091), ('CORN', 669.733), ('WEAT', 388.407), ('SOYB', 229.349), ('MSVX', 0.387)]"
CMCSA,Comcast Corp Class A,27,"[('JHCS', 0.063), ('IEME', 0.047), ('EWCO', 0.046), ('XLC', 0.044), ('FCOM', 0.043)]"
ENPH,Enphase Energy Inc,26,"[('TAN', 0.113), ('QCLN', 0.075), ('ICLN', 0.066), ('CTEC', 0.062), ('ACES', 0.061)]"
QCOM,Qualcomm Inc,26,"[('SOXQ', 0.081), ('SOXL', 0.061), ('USD', 0.055), ('WUGI', 0.054), ('FIVG', 0.052)]"
NIO,NIO Inc ADR,26,"[('KGRN', 0.109), ('QCLN', 0.099), ('FNI', 0.092), ('CHIQ', 0.073), ('ERTH', 0.069)]"
ABBV,AbbVie Inc,26,"[('MJJ', 0.099), ('MJO', 0.099), ('FTXH', 0.079), ('IEIH', 0.057), ('WBIY', 0.057)]"
GSK.L,GlaxoSmithKline PLC,26,"[('FDD', 0.062), ('EWU', 0.04), ('HEWU', 0.04), ('IQDG', 0.039), ('EUDG', 0.038)]"
CVX,Chevron Corp,26,"[('XLE', 0.2), ('ERX', 0.171), ('FENY', 0.165), ('DIG', 0.136), ('FILL', 0.103)]"
ENB.TO,Enbridge Inc,25,"[('ENFR', 0.104), ('MLPX', 0.089), ('EINC', 0.083), ('GLIF', 0.082), ('TPYP', 0.078)]"
MRNA,Moderna Inc,25,"[('GERM', 0.074), ('IBBQ', 0.074), ('BIB', 0.062), ('IBB', 0.059), ('IEIH', 0.052)]"
FTNT,Fortinet Inc,25,"[('BUG', 0.059), ('PXQ', 0.052), ('LYFE', 0.047), ('PKW', 0.047), ('IHAK', 0.044)]"
TMO,Thermo Fisher Scientific Inc,25,"[('IHI', 0.123), ('MJJ', 0.099), ('MJO', 0.099), ('BUL', 0.052), ('VIRS', 0.052)]"
CRM,Salesforce.com Inc,25,"[('IGV', 0.082), ('DIA', 0.046), ('MBCC', 0.042), ('CLOU', 0.039), ('PNQI', 0.038)]"
RELIANCE.B,Reliance Industries Ltd Shs Dematerialised,24,"[('INDY', 0.1), ('FLIN', 0.099), ('INDA', 0.095), ('PIN', 0.093), ('IXSE', 0.074)]"
