Bigram,Name,SumWeights,Holders
"('AAPL', 'UNH')","('Apple Inc', 'UnitedHealth Group Inc')",1.6710000000000003,"[('SCHG', 0.135), ('HART', 0.104), ('IQSU', 0.102), ('EFIV', 0.096), ('SNPE', 0.092)]"
"('INTC', 'MSFT')","('Intel Corp', 'Microsoft Corp')",1.665,"[('XLK', 0.226), ('IYW', 0.19), ('VGT', 0.188), ('FTEC', 0.184), ('TDIV', 0.161)]"
"('CCI', 'EQIX')","('Crown Castle International Corp', 'Equinix Inc')",1.664,"[('SRVR', 0.303), ('VPN', 0.26), ('XLRE', 0.167), ('ICF', 0.159), ('FPRO', 0.155)]"
"('JPM', 'WFC')","('JPMorgan Chase & Co', 'Wells Fargo & Co')",1.6579999999999997,"[('KBWB', 0.162), ('IYG', 0.161), ('XLF', 0.16), ('VFH', 0.132), ('FNCL', 0.131)]"
"('GLDM', 'ZNM21')","('SPDR Gold MiniShares Trust', '10 Year Treasury Note Future June 21')",1.655,"[('RPAR', 1.655)]"
"('03690', 'JD')","('Meituan', 'JD.com Inc ADR')",1.6519999999999997,"[('EWEB', 0.171), ('CHIQ', 0.168), ('KWEB', 0.142), ('EMQQ', 0.138), ('FDNI', 0.128)]"
"('JNJ', 'PG')","('Johnson & Johnson', 'Procter & Gamble Co')",1.6440000000000001,"[('HDV', 0.13), ('DURA', 0.091), ('OUSA', 0.086), ('DGRW', 0.078), ('PWV', 0.069)]"
"('AMZN', 'NKE')","('Amazon.com Inc', 'Nike Inc B')",1.644,"[('XLY', 0.272), ('FDIS', 0.263), ('VCR', 0.263), ('IEDI', 0.21), ('WANT', 0.174)]"
"('FB', 'V')","('Facebook Inc A', 'Visa Inc Class A')",1.6279999999999997,"[('LRGE', 0.112), ('JOYY', 0.1), ('IGM', 0.088), ('FDG', 0.081), ('IETC', 0.079)]"
"('ABBV', 'JNJ')","('AbbVie Inc', 'Johnson & Johnson')",1.6220000000000003,"[('FTXH', 0.156), ('IEIH', 0.15), ('XLV', 0.134), ('IYH', 0.12), ('VHT', 0.108)]"
"('ADBE', 'GOOGL')","('Adobe Inc', 'Alphabet Inc A')",1.613,"[('PNQI', 0.139), ('ESGY', 0.102), ('PGRO', 0.102), ('SPQQ', 0.085), ('KVLE', 0.08)]"
"('PLD', 'PSA')","('Prologis Inc', 'Public Storage')",1.6050000000000002,"[('XLRE', 0.143), ('RWR', 0.141), ('ICF', 0.135), ('BBRE', 0.122), ('FRI', 0.12)]"
