Bigram,Name,SumWeights,Holders,DiffEntries,DiffValue
"('OPI', 'UVV')","('Office Properties Income Trust', 'Universal Corp')",0.062,"[('XSHD', 0.062)]",New,New+0.062
"('GNL', 'KREF')","('Global Net Lease Inc', 'KKR Real Estate Finance Trust Inc')",0.062,"[('XSHD', 0.062)]",New,New+0.062
"('UVV', 'VGR')","('Universal Corp', 'Vector Group Ltd')",0.062,"[('XSHD', 0.062)]",New,New+0.062
"('BDN', 'UVV')","('Brandywine Realty Trust', 'Universal Corp')",0.062,"[('XSHD', 0.062)]",New,New+0.062
"('CRL', 'MIME')","('Charles River Laboratories International Inc', 'Mimecast Ltd')",0.061,"[('BOUT', 0.061)]",New,New+0.061
"('MIME', 'MPWR')","('Mimecast Ltd', 'Monolithic Power Systems Inc')",0.061,"[('BOUT', 0.061)]",New,New+0.061
"('MIME', 'RCII')","('Mimecast Ltd', 'Rent-A-Center Inc')",0.061,"[('BOUT', 0.061)]",New,New+0.061
"('CRL', 'MPWR')","('Charles River Laboratories International Inc', 'Monolithic Power Systems Inc')",0.061,"[('BOUT', 0.061)]",New,New+0.061
"('00002.HK', '00823.HK')","('CLP Holdings Ltd', 'Link Real Estate Investment Trust')",0.061,"[('FLHK', 0.061)]",New,New+0.061
"('BGS', 'OPI')","('B&G Foods Inc', 'Office Properties Income Trust')",0.061,"[('XSHD', 0.061)]",New,New+0.061
"('BDN', 'BGS')","('Brandywine Realty Trust', 'B&G Foods Inc')",0.061,"[('XSHD', 0.061)]",New,New+0.061
"('FSP', 'VGR')","('Franklin Street Properties Corp', 'Vector Group Ltd')",0.061,"[('XSHD', 0.061)]",New,New+0.061
"('FSP', 'UVV')","('Franklin Street Properties Corp', 'Universal Corp')",0.061,"[('XSHD', 0.061)]",New,New+0.061
"('BDN', 'GNL')","('Brandywine Realty Trust', 'Global Net Lease Inc')",0.061,"[('XSHD', 0.061)]",New,New+0.061
"('HZNP', 'WIX')","('Horizon Therapeutics PLC', 'Wix.com Ltd')",0.06,"[('AIIQ', 0.06)]",New,New+0.06
"('IR', 'MIME')","('Ingersoll Rand Inc', 'Mimecast Ltd')",0.06,"[('BOUT', 0.06)]",New,New+0.06
"('MIME', 'MXL')","('Mimecast Ltd', 'MaxLinear Inc')",0.06,"[('BOUT', 0.06)]",New,New+0.06
"('MIME', 'SCHW')","('Mimecast Ltd', 'Charles Schwab Corp')",0.06,"[('BOUT', 0.06)]",New,New+0.06
"('CRL', 'MXL')","('Charles River Laboratories International Inc', 'MaxLinear Inc')",0.06,"[('BOUT', 0.06)]",New,New+0.06
"('CRL', 'SCHW')","('Charles River Laboratories International Inc', 'Charles Schwab Corp')",0.06,"[('BOUT', 0.06)]",New,New+0.06
"('CRL', 'RCII')","('Charles River Laboratories International Inc', 'Rent-A-Center Inc')",0.06,"[('BOUT', 0.06)]",New,New+0.06
