Symbol,Name,SumWeights,DiffEntries,DiffValue
HI,Hillenbrand Inc,0.0047999998,-15,0.0
CABO,Cable One Inc,0.0047,-15,0.0
LAND,Gladstone Land Corp,0.0047,-15,0.0
7735,Screen Holdings Co Ltd,0.0047,-15,0.0
AMRC,Ameresco Inc Class A,0.0046,-15,0.0
PH,Parker Hannifin Corp,0.0046,-15,0.0
TUP,Tupperware Brands Corp,0.0046,-15,0.0
H,Hydro One Ltd,0.0046,-15,0.0
TW,Tradeweb Markets Inc,0.0044,-16,0.0
AUTO.L,Auto Trader Group PLC,0.0044,-16,0.0
TGH,Textainer Group Holdings Ltd,0.0044,-16,0.0
7936,ASICS Corp,0.0044,-16,0.0
CM,Canadian Imperial Bank of Commerce,0.0043,-15,0.0
PUB,Publicis Groupe SA,0.0043,-15,0.0
WMK,Weis Markets Inc,0.0043,-16,0.0
NESN.TO,Nestle SA,0.0042,-16,0.0
3289,Tokyu Fudosan Holdings Corp,0.0041,-16,0.0
00006.TO,Power Assets Holdings Ltd,0.0039,-16,0.0
EXLS,ExlService Holdings Inc,0.0038,-15,0.0
EMA,Emera Inc,0.0037,-15,0.0
MORF,Morphic Holding Inc,0.0037,-15,0.0
CLAR,Clarus Corp,0.0037,-15,0.0
PB,Prosperity Bancshares Inc,0.0036000002,-15,0.0
PRFT,Perficient Inc,0.0034999999,-15,0.0
WHL.JO,Woolworths Holdings Ltd,0.0034999999,-15,0.0
PVAC,Penn Virginia Corp,0.0034999999,-15,0.0
MRP.JO,Mr Price Group Ltd,0.0034,-15,0.0
WHR,Whirlpool Corp,0.0034,-15,0.0
CPRX,Catalyst Pharmaceuticals Inc,0.0033000002,-15,0.0
4966,Parade Technologies Ltd,0.0033000002,-15,0.0
5483.TW,Sino-American Silicon Products Inc,0.0033000002,-15,0.0
CCL.A,CCL Industries Inc Class A,0.0033000002,-15,0.0
VSTM,Verastem Inc,0.0032,-15,0.0
ZION,Zions Bancorp NA,0.0032,-15,0.0
EVRI,Everi Holdings Inc,0.0032,-15,0.0
CYBE,CyberOptics Corp,0.0031,-14,0.0
PERSISTENT,Persistent Systems Ltd,0.0031,-14,0.0
NEXT,NextDecade Corp,0.003,-14,0.0
RAMP,LiveRamp Holdings Inc,0.0029,-14,0.0
NVMI.TW,Nova Measuring Instruments Ltd,0.0027,-13,0.0
OVID,Ovid Therapeutics Inc,0.0027,-13,0.0
2337.TW,Macronix International Co Ltd,0.0026,-13,0.0
034020,Doosan Heavy Industries & Construction Co Ltd,0.0026,-13,0.0
028050.KS,Samsung Engineering Co Ltd,0.0026,-13,0.0
PLRX,Pliant Therapeutics Inc Ordinary Shares,0.0026,-13,0.0
CORT,Corcept Therapeutics Inc,0.0025,-13,0.0
BKD,Brookdale Senior Living Inc,0.0025,-13,0.0
CCL.B.TO,CCL Industries Inc B- Non-Voting,0.0025,-13,0.0
TFII.TO,TFI International Inc,0.0025,-13,0.0
9107.DE,Kawasaki Kisen Kaisha Ltd,0.0023999999,-13,0.0
RAVN,Raven Industries Inc,0.0023,-13,0.0
01083,Towngas China Co Ltd,0.0023,-13,0.0
SOFI,SoFi Technologies Inc Ordinary Shares,0.0023,-13,0.0
3349,COSMOS Pharmaceutical Corp,0.0023,-13,0.0
011210.KS,Hyundai Wia Corp,0.0022,-13,0.0
LEO.KS,Leoni AG,0.0022,-13,0.0
051600.KS,KEPCO Plant Service & Engineering Co Ltd,0.0022,-13,0.0
4732,USS Co Ltd,0.0022,-13,0.0
NOD,Nordic Semiconductor ASA,0.0021,-13,0.0
8956,NTT UD Reit Investment Corp,0.0021,-13,0.0
001230.DE,Dongkuk Steel Mill Co Ltd,0.002,-13,0.0
4751,CyberAgent Inc,0.002,-13,0.0
000150.KS,Doosan Corp Ordinary Shares,0.002,-13,0.0
7936.L,ASICS Corp,0.0019,-13,0.0
KCO.TO,Kloeckner & Co SE,0.0019,-13,0.0
TOU,Tourmaline Oil Corp,0.0019,-13,0.0
014680.KS,Hansol Chemical Co Ltd,0.0019,-13,0.0
LATO B,Investment AB Latour Class B,0.0019,-13,0.0
6869,Sysmex Corp,0.0019,-13,0.0
IMI,IMI PLC,0.0018000001,-13,0.0
FBK.MI,FinecoBank SpA,0.0018000001,-13,0.0
3391,Tsuruha Holdings Inc,0.0018000001,-13,0.0
120110.KS,Kolon Industries Inc,0.0018000001,-13,0.0
S63.SI,Singapore Technologies Engineering Ltd,0.0017,-13,0.0
FCBP,First Choice Bancorp,0.0016,-12,0.0
HVT,Haverty Furniture Companies Inc,0.0016,-12,0.0
IIIN,Insteel Industries Inc,0.0016,-12,0.0
EBSB,Meridian Bancorp Inc,0.0016,-12,0.0
HT,Hersha Hospitality Trust,0.0015,-12,0.0
DRSM21,Bloomberg Roll Select Commodity Index Future June 21,0.0,-12,0.0
GCQ21,Gold Future Aug 21,0.0,-12,0.0
ASML,ASML Holding NV ADR,2.0483999925999985,-2,-0.0037999940000004173
DDD,3D Systems Corp,0.277099994,-27,-0.0046999999999999265
POWI,Power Integrations Inc,0.0938999988,-86,-0.00470000000000001
MSTR,MicroStrategy Inc Class A,0.3087999994000001,-18,-0.0049000000000000155
GTLS,Chart Industries Inc,0.1276000015,-54,-0.0049000000000000155
AVA,Avista Corp,0.13010000199999996,-58,-0.004900000000000043
NEO,NeoGenomics Inc,0.1018,-76,-0.0050000000000000044
SAIA,Saia Inc,0.1621999989,-33,-0.005199999999999982
M,Macy's Inc,0.11579999999999999,-67,-0.005599999999999994
OMCL,Omnicell Inc,0.22320000200000006,-41,-0.006199999999999983
CRWD,CrowdStrike Holdings Inc Class A,0.7952999890000001,-10,-0.006299999999999972
PTM.AX,Platinum Asset Management Ltd,0.0067000003,-212,-0.0067000003
CIE.BC,CIE Automotive SA,0.0070999996,-230,-0.0069999998
ENAV.MI,ENAV SpA,0.0070999996,-230,-0.0069999998
MCRB,Seres Therapeutics Inc,0.0061000003,-238,-0.0072000003
TWST,Twist Bioscience Corp,0.053599999999999995,-159,-0.007200000300000002
TWLO,Twilio Inc A,0.498700003,-19,-0.007299999999999918
STG,Scandinavian Tobacco Group A/S,0.0075,-251,-0.0075
BB.PA,Bic,0.0078,-257,-0.007900000999999999
OCGN,Ocugen Inc,0.0043,-258,-0.007900001
MGNX,Macrogenics Inc,0.0469,-231,-0.007900001000000004
TBIO,Translate Bio Inc,0.0143,-311,-0.008
BX,Blackstone Group Inc,0.1611,-47,-0.008300000000000002
MNKD,MannKind Corp,0.0045,-276,-0.008399999999999998
BEAM,Beam Therapeutics Inc,0.0388,-344,-0.009000000000000001
MRNA,Moderna Inc,0.6969999960999999,-14,-0.009000000000000008
POST,Oesterreichische Post AG,0.0095,-307,-0.009099999999999999
AVXL,Anavex Life Sciences Corp,0.0389,-346,-0.0092
UBER,Uber Technologies Inc,0.09659999999999999,-138,-0.009300000000000003
EDIT,Editas Medicine Inc,0.0480999997,-254,-0.009399999999999999
NXI.PA,Nexity SA,0.0098,-347,-0.009999999999999998
NELES,Neles Corp,0.0104,-374,-0.010299999
GEF,Greif Inc Class A,0.019299999,-416,-0.010499999999999999
GME,GameStop Corp Class A,0.45990000600000003,-23,-0.011199999999999988
EURN,Euronav NV,0.0114,-434,-0.011200000000000002
NTLA,Intellia Therapeutics Inc,0.3182000055000001,-26,-0.011799999499999991
RCII,Rent-A-Center Inc,0.058499999999999996,-244,-0.011799999500000005
SQ,Square Inc A,1.040499984,-8,-0.01200000000000001
XTSLA,BlackRock Cash Funds Treasury SL Agency,2.893099992899999,-3,-0.013599999999999834
DIS,The Walt Disney Co,0.802899993,-10,-0.014999999999999902
FCNCA,First Citizens BancShares Inc Class A,0.067999997,-277,-0.016199999999999992
CIT,CIT Group Inc,0.049699999800000005,-350,-0.016199999999999992
FRC,First Republic Bank,0.083200002,-240,-0.016299999999999995
SBNY,Signature Bank,0.14869999820000002,-85,-0.01639999999999997
SIVB,SVB Financial Group,0.201400004,-68,-0.016399999999999998
HBAN,Huntington Bancshares Inc,0.109899999,-148,-0.016399999999999998
EWBC,East West Bancorp Inc,0.1052000045,-160,-0.0165
BGS,B&G Foods Inc,0.11079999999999998,-149,-0.016500000000000015
PNFP,Pinnacle Financial Partners Inc,0.07090000199999999,-270,-0.016500000000000015
FXPO.L,Ferrexpo PLC,0.016900001,-644,-0.0166
PNC,PNC Financial Services Group Inc,0.32930000550000005,-30,-0.01679999999999998
VGR,Vector Group Ltd,0.0312,-633,-0.016800000000000002
SI,Silvergate Capital Corp Class A,0.1946000005,-85,-0.01949999999999999
