Symbol,Name,SumWeights,Holders
AMT,American Tower Corp,1.4749999999999999,"[('SRVR', 0.151), ('SPRE', 0.135), ('VPN', 0.132), ('XLRE', 0.131), ('SCHH', 0.088)]"
GDX.AX,VanEck Vectors Gold Miners ETF,1.46,"[('GDXD', 0.73), ('GDXU', 0.73)]"
PLD,Prologis Inc,1.4370000000000003,"[('INDS', 0.149), ('SPRE', 0.125), ('REIT', 0.109), ('XLRE', 0.094), ('FPRO', 0.084)]"
ADBE,Adobe Inc,1.4269999999999996,"[('IGV', 0.088), ('SXQG', 0.056), ('AMOM', 0.048), ('MBCC', 0.043), ('PNQI', 0.043)]"
ESU21,E-mini S&P 500 Future Sept 21,1.4170000000000003,"[('XDIV', 0.558), ('MRSK', 0.493), ('PHDG', 0.256), ('SSO', 0.055), ('UPRO', 0.055)]"
BAC,Bank of America Corp,1.3890000000000005,"[('KBWB', 0.083), ('XLF', 0.076), ('FNCL', 0.064), ('VFH', 0.064), ('FAS', 0.053)]"
PFE,Pfizer Inc,1.3829999999999998,"[('IHE', 0.18), ('IEIH', 0.059), ('PJP', 0.054), ('RDIV', 0.051), ('DURA', 0.05)]"
XLF,SPDR Select Sector Fund - Finan,1.343,"[('BOB', 0.343), ('EUCG', 0.158), ('XLSR', 0.126), ('SECT', 0.12), ('SSUS', 0.115)]"
NOVN,Novartis AG,1.2919999999999998,"[('FLSW', 0.113), ('EWL', 0.106), ('HDEF', 0.051), ('HART', 0.05), ('HDAW', 0.044)]"
INTC,Intel Corp,1.2859999999999998,"[('TDIV', 0.077), ('USD', 0.077), ('SOXQ', 0.075), ('VLUE', 0.063), ('SOXL', 0.056)]"
INFY.BO,Infosys Ltd,1.2479999999999998,"[('IXSE', 0.094), ('PIN', 0.092), ('INDY', 0.086), ('INDA', 0.085), ('FLIN', 0.077)]"
WMT,Walmart Inc,1.2320000000000002,"[('XLP', 0.091), ('FSTA', 0.084), ('VDC', 0.084), ('AVDG', 0.068), ('FTXD', 0.062)]"
TPIXX,State Street Instl Trs Pls MMkt Premier,1.2309999999999999,"[('REIT', 1.013), ('RIGS', 0.136), ('RFCI', 0.075), ('BFOR', 0.007)]"
IJH,iShares Core S&P Mid-Cap ETF,1.184,"[('MIDU', 0.741), ('FFHG', 0.242), ('FFSG', 0.181), ('AOR', 0.02)]"
XLY,SPDR Select Sector Fund - Consu,1.1750000000000003,"[('MPRO', 0.155), ('TDSA', 0.153), ('AESR', 0.118), ('TDSB', 0.108), ('TDSC', 0.105)]"
PM,Philip Morris International Inc,1.1680000000000006,"[('WBIY', 0.058), ('DHS', 0.057), ('IECS', 0.051), ('HDV', 0.048), ('IYK', 0.047)]"
