Bigram,Name,NumAppearances,Holders,DiffEntries,DiffValue
"('300059', '601318')","('East Money Information Co Ltd', 'Ping An Insurance (Group) Co. of China Ltd')",1,"[('AFTY', 0.097)]",New,New
"('300059', '601012')","('East Money Information Co Ltd', 'LONGi Green Energy Technology Co Ltd Class A')",1,"[('AFTY', 0.064)]",New,New
"('300059', '601888')","('East Money Information Co Ltd', 'China Tourism Group Duty Free Corp Ltd Class A')",1,"[('AFTY', 0.054)]",New,New
"('300059', '601166')","('East Money Information Co Ltd', 'Industrial Bank Co Ltd')",1,"[('AFTY', 0.066)]",New,New
"('PWR', 'WNC')","('Quanta Services Inc', 'Wabash National Corp')",1,"[('AIRR', 0.063)]",New,New
"('HUBB', 'WNC')","('Hubbell Inc', 'Wabash National Corp')",1,"[('AIRR', 0.062)]",New,New
"('MWA', 'WNC')","('Mueller Water Products, Inc. Class A', 'Wabash National Corp')",1,"[('AIRR', 0.063)]",New,New
"('APG', 'WNC')","('APi Group Corp', 'Wabash National Corp')",1,"[('AIRR', 0.062)]",New,New
"('WIRE', 'WNC')","('Encore Wire Corp', 'Wabash National Corp')",1,"[('AIRR', 0.066)]",New,New
"('ROLL', 'WNC')","('RBC Bearings Inc', 'Wabash National Corp')",1,"[('AIRR', 0.065)]",New,New
"('MYRG', 'WNC')","('MYR Group Inc', 'Wabash National Corp')",1,"[('AIRR', 0.064)]",New,New
"('CLH', 'WNC')","('Clean Harbors Inc', 'Wabash National Corp')",1,"[('AIRR', 0.063)]",New,New
"('CVA', 'WNC')","('Covanta Holding Corp', 'Wabash National Corp')",1,"[('AIRR', 0.062)]",New,New
"('HUBB', 'PWR')","('Hubbell Inc', 'Quanta Services Inc')",1,"[('AIRR', 0.063)]",New,New
"('MWA', 'PWR')","('Mueller Water Products, Inc. Class A', 'Quanta Services Inc')",1,"[('AIRR', 0.064)]",New,New
"('APG', 'PWR')","('APi Group Corp', 'Quanta Services Inc')",1,"[('AIRR', 0.064)]",New,New
"('PWR', 'WIRE')","('Quanta Services Inc', 'Encore Wire Corp')",1,"[('AIRR', 0.067)]",New,New
"('PWR', 'ROLL')","('Quanta Services Inc', 'RBC Bearings Inc')",1,"[('AIRR', 0.066)]",New,New
"('MYRG', 'PWR')","('MYR Group Inc', 'Quanta Services Inc')",1,"[('AIRR', 0.065)]",New,New
"('CLH', 'PWR')","('Clean Harbors Inc', 'Quanta Services Inc')",1,"[('AIRR', 0.064)]",New,New
"('CVA', 'PWR')","('Covanta Holding Corp', 'Quanta Services Inc')",1,"[('AIRR', 0.063)]",New,New
"('HUBB', 'MWA')","('Hubbell Inc', 'Mueller Water Products, Inc. Class A')",1,"[('AIRR', 0.062)]",New,New
"('APG', 'HUBB')","('APi Group Corp', 'Hubbell Inc')",1,"[('AIRR', 0.062)]",New,New
"('HUBB', 'WIRE')","('Hubbell Inc', 'Encore Wire Corp')",1,"[('AIRR', 0.065)]",New,New
"('HUBB', 'ROLL')","('Hubbell Inc', 'RBC Bearings Inc')",1,"[('AIRR', 0.065)]",New,New
"('HUBB', 'MYRG')","('Hubbell Inc', 'MYR Group Inc')",1,"[('AIRR', 0.063)]",New,New
"('CLH', 'HUBB')","('Clean Harbors Inc', 'Hubbell Inc')",1,"[('AIRR', 0.062)]",New,New
"('CVA', 'HUBB')","('Covanta Holding Corp', 'Hubbell Inc')",1,"[('AIRR', 0.061)]",New,New
"('APG', 'MWA')","('APi Group Corp', 'Mueller Water Products, Inc. Class A')",1,"[('AIRR', 0.063)]",New,New
"('APG', 'WIRE')","('APi Group Corp', 'Encore Wire Corp')",1,"[('AIRR', 0.066)]",New,New
"('APG', 'ROLL')","('APi Group Corp', 'RBC Bearings Inc')",1,"[('AIRR', 0.065)]",New,New
"('APG', 'MYRG')","('APi Group Corp', 'MYR Group Inc')",1,"[('AIRR', 0.064)]",New,New
"('APG', 'CLH')","('APi Group Corp', 'Clean Harbors Inc')",1,"[('AIRR', 0.063)]",New,New
"('APG', 'CVA')","('APi Group Corp', 'Covanta Holding Corp')",1,"[('AIRR', 0.062)]",New,New
"('KTOS', 'LHX')","('Kratos Defense & Security Solutions Inc', 'L3Harris Technologies Inc')",1,"[('ARKX', 0.107)]",New,New
"('6301', 'KTOS')","('Komatsu Ltd', 'Kratos Defense & Security Solutions Inc')",1,"[('ARKX', 0.099)]",New,New
"('KTOS', 'PRNT')","('Kratos Defense & Security Solutions Inc', '3D Printing (The) ETF')",1,"[('ARKX', 0.117)]",New,New
"('KTOS', 'LMT')","('Kratos Defense & Security Solutions Inc', 'Lockheed Martin Corp')",1,"[('ARKX', 0.099)]",New,New
"('AMZN', 'KTOS')","('Amazon.com Inc', 'Kratos Defense & Security Solutions Inc')",1,"[('ARKX', 0.089)]",New,New
"('HO.PA', 'KTOS')","('Thales', 'Kratos Defense & Security Solutions Inc')",1,"[('ARKX', 0.096)]",New,New
"('JD', 'LHX')","('JD.com Inc ADR', 'L3Harris Technologies Inc')",1,"[('ARKX', 0.104)]",New,New
"('6301', 'LHX')","('Komatsu Ltd', 'L3Harris Technologies Inc')",1,"[('ARKX', 0.093)]",New,New
"('LHX', 'PRNT')","('L3Harris Technologies Inc', '3D Printing (The) ETF')",1,"[('ARKX', 0.111)]",New,New
"('LHX', 'TRMB')","('L3Harris Technologies Inc', 'Trimble Inc')",1,"[('ARKX', 0.143)]",New,New
"('AMZN', 'LHX')","('Amazon.com Inc', 'L3Harris Technologies Inc')",1,"[('ARKX', 0.084)]",New,New
"('HO.PA', 'LHX')","('Thales', 'L3Harris Technologies Inc')",1,"[('ARKX', 0.091)]",New,New
"('6301', 'JD')","('Komatsu Ltd', 'JD.com Inc ADR')",1,"[('ARKX', 0.096)]",New,New
"('JD', 'PRNT')","('JD.com Inc ADR', '3D Printing (The) ETF')",1,"[('ARKX', 0.114)]",New,New
"('JD', 'LMT')","('JD.com Inc ADR', 'Lockheed Martin Corp')",1,"[('ARKX', 0.096)]",New,New
"('HO.PA', 'JD')","('Thales', 'JD.com Inc ADR')",1,"[('ARKX', 0.093)]",New,New
"('6301', 'PRNT')","('Komatsu Ltd', '3D Printing (The) ETF')",1,"[('ARKX', 0.103)]",New,New
"('6301', 'TRMB')","('Komatsu Ltd', 'Trimble Inc')",1,"[('ARKX', 0.135)]",New,New
"('6301', 'LMT')","('Komatsu Ltd', 'Lockheed Martin Corp')",1,"[('ARKX', 0.085)]",New,New
"('6301', 'AMZN')","('Komatsu Ltd', 'Amazon.com Inc')",1,"[('ARKX', 0.076)]",New,New
"('6301', 'IRDM')","('Komatsu Ltd', 'Iridium Communications Inc')",1,"[('ARKX', 0.089)]",New,New
"('6301', 'HO.PA')","('Komatsu Ltd', 'Thales')",1,"[('ARKX', 0.083)]",New,New
"('PRNT', 'TRMB')","('3D Printing (The) ETF', 'Trimble Inc')",1,"[('ARKX', 0.152)]",New,New
"('LMT', 'PRNT')","('Lockheed Martin Corp', '3D Printing (The) ETF')",1,"[('ARKX', 0.103)]",New,New
"('AMZN', 'PRNT')","('Amazon.com Inc', '3D Printing (The) ETF')",1,"[('ARKX', 0.094)]",New,New
"('IRDM', 'PRNT')","('Iridium Communications Inc', '3D Printing (The) ETF')",1,"[('ARKX', 0.107)]",New,New
"('HO.PA', 'PRNT')","('Thales', '3D Printing (The) ETF')",1,"[('ARKX', 0.1)]",New,New
"('LMT', 'TRMB')","('Lockheed Martin Corp', 'Trimble Inc')",1,"[('ARKX', 0.135)]",New,New
"('AMZN', 'TRMB')","('Amazon.com Inc', 'Trimble Inc')",1,"[('ARKX', 0.125)]",New,New
"('HO.PA', 'TRMB')","('Thales', 'Trimble Inc')",1,"[('ARKX', 0.132)]",New,New
"('AMZN', 'LMT')","('Amazon.com Inc', 'Lockheed Martin Corp')",1,"[('ARKX', 0.076)]",New,New
"('HO.PA', 'LMT')","('Thales', 'Lockheed Martin Corp')",1,"[('ARKX', 0.083)]",New,New
"('AMZN', 'IRDM')","('Amazon.com Inc', 'Iridium Communications Inc')",1,"[('ARKX', 0.08)]",New,New
"('AMZN', 'HO.PA')","('Amazon.com Inc', 'Thales')",1,"[('ARKX', 0.073)]",New,New
"('HO.PA', 'IRDM')","('Thales', 'Iridium Communications Inc')",1,"[('ARKX', 0.087)]",New,New
"('CLF2.L', 'WINZ21.L')","('Crude Oil Dec21', 'Mini Ibovespa Future Dec 21')",1,"[('DBC', 0.152)]",New,New
"('CLF2.L', 'HON22')","('Crude Oil Dec21', 'NY Harbor ULSD Future June 22')",1,"[('DBC', 0.149)]",New,New
"('CLF2.L', 'CLTL')","('Crude Oil Dec21', 'Invesco Treasury Collateral ETF')",1,"[('DBC', 0.114)]",New,New
"('AGPXX', 'CLF2.L')","('Invesco Shrt-Trm Inv Gov&Agcy Instl', 'Crude Oil Dec21')",1,"[('DBC', 0.339)]",New,New
"('BRNH22', 'CLF2.L')","('Brent Crude Future Jan 22', 'Crude Oil Dec21')",1,"[('DBC', 0.146)]",New,New
"('KTB', 'MED')","('Kontoor Brands Inc', 'Medifast Inc')",1,"[('DES', 0.024)]",New,New
"('KTB', 'VGR')","('Kontoor Brands Inc', 'Vector Group Ltd')",1,"[('DES', 0.031)]",New,New
"('BGS', 'KTB')","('B&G Foods Inc', 'Kontoor Brands Inc')",1,"[('DES', 0.031)]",New,New
"('KTB', 'RCII')","('Kontoor Brands Inc', 'Rent-A-Center Inc')",1,"[('DES', 0.026)]",New,New
"('CMP', 'KTB')","('Compass Minerals International Inc', 'Kontoor Brands Inc')",1,"[('DES', 0.026)]",New,New
"('CMC', 'KTB')","('Commercial Metals Co', 'Kontoor Brands Inc')",1,"[('DES', 0.025)]",New,New
"('AVA', 'KTB')","('Avista Corp', 'Kontoor Brands Inc')",1,"[('DES', 0.024)]",New,New
"('KTB', 'SJI')","('Kontoor Brands Inc', 'South Jersey Industries Inc')",1,"[('DES', 0.025)]",New,New
"('GEF', 'KTB')","('Greif Inc Class A', 'Kontoor Brands Inc')",1,"[('DES', 0.025)]",New,New
"('MED', 'VGR')","('Medifast Inc', 'Vector Group Ltd')",1,"[('DES', 0.027)]",New,New
"('CMP', 'MED')","('Compass Minerals International Inc', 'Medifast Inc')",1,"[('DES', 0.021)]",New,New
"('CMC', 'MED')","('Commercial Metals Co', 'Medifast Inc')",1,"[('DES', 0.021)]",New,New
"('MED', 'SJI')","('Medifast Inc', 'South Jersey Industries Inc')",1,"[('DES', 0.021)]",New,New
