Symbol,Name,SumWeights,Holders,DiffEntries,DiffValue
NVAX,Novavax Inc,0.10400000000000001,"[('GERM', 0.033), ('BUZZ', 0.032), ('BTEC', 0.018), ('BBSC', 0.009), ('FEX', 0.005)]",33,0.0
HPG,Hoa Phat Group JSC,0.10400000000000001,"[('VNM', 0.053), ('FM', 0.033), ('EMFM', 0.018)]",33,0.0
EMR,Emerson Electric Co,0.10400000000000001,"[('FLV', 0.029), ('PAVE', 0.029), ('LVHD', 0.026), ('SDOG', 0.02)]",33,0.0
01772,Ganfeng Lithium Co Ltd,0.10300000000000001,"[('REMX', 0.062), ('CHIM', 0.041)]",33,0.0
EDU,New Oriental Education & Technology Group Inc ADR,0.10300000000000001,"[('EDUT', 0.061), ('DWLD', 0.042)]",33,0.0
ALE,Allegro.EU SA Ordinary Shares,0.10300000000000001,"[('EPOL', 0.07), ('IPOS', 0.033)]",33,0.0
ZURN,Zurich Insurance Group AG,0.10300000000000001,"[('FLSW', 0.038), ('EUFN', 0.035), ('VWID', 0.03)]",33,0.0
TESXU1,EURO STOXX 50 Index Total Return Sept21,0.10300000000000001,"[('WTMF', 0.066), ('FLSP', 0.037)]",33,0.0
NXE.TO,NexGen Energy Ltd,0.10300000000000001,"[('URA', 0.054), ('URNM', 0.049)]",33,0.0
NS,NuStar Energy LP,0.103,"[('AMZA', 0.103)]",33,0.0
CHUY,Chuy's Holdings Inc,0.103,"[('EATZ', 0.06), ('VICE', 0.043)]",33,0.0
UNFI,United Natural Foods Inc,0.103,"[('PSCC', 0.047), ('RWJ', 0.034), ('XSVM', 0.015), ('EES', 0.007)]",33,0.0
PNQI,Invesco Nasdaq Internet ETF,0.103,"[('QPT', 0.103)]",33,0.0
IYH,iShares U.S. Healthcare ETF,0.103,"[('RXD', 0.103)]",33,0.0
MGK,Vanguard Mega Cap Growth ETF,0.103,"[('WIZ', 0.103)]",33,0.0
QRVO,Qorvo Inc,0.10200000000000001,"[('BUL', 0.034), ('SIMS', 0.026), ('WLDR', 0.017), ('MIDF', 0.016), ('ONEO', 0.005)]",33,0.0
SMED,Sharps Compliance Corp,0.10200000000000001,"[('CBLS', 0.055), ('CBSE', 0.047)]",33,0.0
VEDL.BO,Vedanta Ltd ADR,0.10200000000000001,"[('COPX', 0.058), ('SLX', 0.044)]",33,0.0
FYX,First Trust Small Cap Core Alph,0.101,"[('DWAT', 0.101)]",33,0.0
AKAM,Akamai Technologies Inc,0.101,"[('IHAK', 0.039), ('FIVG', 0.028), ('TENG', 0.023), ('DWSH', 0.011)]",33,0.0
ASII,PT Astra International Tbk,0.101,"[('IDX', 0.059), ('EIDO', 0.042)]",33,0.0
SLAB,Silicon Laboratories Inc,0.101,"[('SNSR', 0.039), ('SIMS', 0.028), ('MOON', 0.023), ('ISCG', 0.004), ('VTWG', 0.004)]",33,0.0
MDKA,PT Merdeka Copper Gold Tbk,0.101,"[('GOEX', 0.038), ('IDX', 0.034), ('GDXJ', 0.029)]",33,0.0
BHP.L,BHP Group PLC,0.101,"[('PICK', 0.055), ('MXI', 0.024), ('INTF', 0.022)]",33,0.0
688111,Beijing Kingsoft Office Software Inc Class A,0.101,"[('KSTR', 0.101)]",33,0.0
UPRO,ProShares UltraPro S&P 500,0.101,"[('LGH', 0.101)]",33,0.0
KOMP,SPDR S&P Kensho New Economies C,0.101,"[('TMAT', 0.101)]",33,0.0
EMIRATESNB,Emirates NBD PJSC,0.101,"[('UAE', 0.101)]",33,0.0
2412.TW,Chunghwa Telecom Co Ltd,0.10099999999999999,"[('ECON', 0.038), ('CEY', 0.027), ('EEMV', 0.015), ('EELV', 0.011), ('QLVE', 0.01)]",33,0.0
YMH21,E-mini Dow $5 Future Mar 21,0.093,"[('DXD', 0.093)]",33,0.0
SMSN.KS,Samsung Electronics Co Ltd GDR,0.092,"[('DSTX', 0.048), ('AVEM', 0.029), ('SPDW', 0.015)]",33,0.0
AVY,Avery Dennison Corp,0.091,"[('CUT', 0.05), ('PYZ', 0.041)]",33,0.0
