Bigram,Name,SumWeights
"('COP', 'XOM')","('ConocoPhillips', 'Exxon Mobil Corp')",1.726400002
"('SSPY', 'SSLY')","('Syntax Stratified LargeCap ETF', 'Syntax Stratified SmallCap ETF')",1.713600026
"('JNK', 'HYG')","('SPDR Bloomberg Barclays High Yi', 'iShares iBoxx $ High Yield Corp')",1.7133999990000002
"('JNJ', 'JPM')","('Johnson & Johnson', 'JPMorgan Chase & Co')",1.7075999984999999
"('EQIX', 'PLD')","('Equinix Inc', 'Prologis Inc')",1.701299989
"('ESGU', 'ESGD')","('iShares ESG Aware MSCI USA ETF', 'iShares ESG Aware MSCI EAFE ETF')",1.69820001
"('MA', 'V')","('Mastercard Inc A', 'Visa Inc Class A')",1.6971999955000001
"('03690', 'BABA')","('Meituan', 'Alibaba Group Holding Ltd ADR')",1.6969999919999998
"('XLK', 'XLI')","('SPDR Select Sector Fund - Techn', 'SPDR Select Sector Fund - Indus')",1.6898000089999998
"('UBM21', 'VEA')","('Ultra US Treasury Bond Future June 21', 'Vanguard FTSE Developed Markets')",1.6824999999999999
"('JNJ', 'UNH')","('Johnson & Johnson', 'UnitedHealth Group Inc')",1.6717999975
"('03690', 'JD')","('Meituan', 'JD.com Inc ADR')",1.6650000139999996
"('NVDA', 'V')","('NVIDIA Corp', 'Visa Inc Class A')",1.6565000005
"('ZNM21', 'GLDM')","('10 Year Treasury Note Future June 21', 'SPDR Gold MiniShares Trust')",1.65509995
"('JNJ', 'FB')","('Johnson & Johnson', 'Facebook Inc A')",1.620799992
"('XOM', 'EOG')","('Exxon Mobil Corp', 'EOG Resources Inc')",1.5928999990000001
"('BIDU', '00700')","('Baidu Inc ADR', 'Tencent Holdings Ltd')",1.59159999
"('USHY', 'ANGL')","('iShares Broad USD High Yield Co', 'VanEck Fallen Angel High Yield ')",1.5838
"('ULVR.L', 'ROG')","('Unilever PLC', 'Roche Holding AG')",1.579999987
"('AMZN', 'ADBE')","('Amazon.com Inc', 'Adobe Inc')",1.5795999939999998
"('FB', 'NFLX')","('Facebook Inc A', 'Netflix Inc')",1.567799998
"('INTC', 'MSFT')","('Intel Corp', 'Microsoft Corp')",1.5501999939999997
"('PG', 'JNJ')","('Procter & Gamble Co', 'Johnson & Johnson')",1.5444999935000001
"('EQIX', 'AMT')","('Equinix Inc', 'American Tower Corp')",1.5359999880000001
"('PYPL', 'FB')","('PayPal Holdings Inc', 'Facebook Inc A')",1.5337000004999997
"('AGPXX', 'CLTL')","('Invesco Shrt-Trm Inv Gov&Agcy Instl', 'Invesco Treasury Collateral ETF')",1.53040003
"('AMZN', 'UNH')","('Amazon.com Inc', 'UnitedHealth Group Inc')",1.5303000015000003
"('XLK', 'XLC')","('SPDR Select Sector Fund - Techn', 'The Communication Services Sele')",1.5241000150000001
"('BAC', 'BRK.B')","('Bank of America Corp', 'Berkshire Hathaway Inc Class B')",1.5111000005000004
"('CSCO', 'MSFT')","('Cisco Systems Inc', 'Microsoft Corp')",1.51029999
"('COP', 'CVX')","('ConocoPhillips', 'Chevron Corp')",1.5034000180000002
"('NPN.JO', '2330.TW')","('Naspers Ltd Class N', 'Taiwan Semiconductor Manufacturing Co Ltd')",1.4972000210000003
"('03690', '00939')","('Meituan', 'China Construction Bank Corp Class H')",1.4775999976000003
"('TSLA', 'JPM')","('Tesla Inc', 'JPMorgan Chase & Co')",1.4758000044000001
"('NVDA', 'ADBE')","('NVIDIA Corp', 'Adobe Inc')",1.4744999970000001
"('SAP.DE', 'ASML')","('SAP SE', 'ASML Holding NV ADR')",1.4673999932
"('XLK', 'XLP')","('SPDR Select Sector Fund - Techn', 'SPDR Select Sector Fund - Consu')",1.465300004
"('NVDA', 'QCOM')","('NVIDIA Corp', 'Qualcomm Inc')",1.4529999949999999
"('JPM', 'BAC')","('JPMorgan Chase & Co', 'Bank of America Corp')",1.4511000015
"('005930.KS', '09988')","('Samsung Electronics Co Ltd', 'Alibaba Group Holding Ltd Ordinary Shares')",1.4483999884999998
"('IEFA', 'IVV')","('iShares Core MSCI EAFE ETF', 'iShares Core S&P 500 ETF')",1.4399
"('JNJ', 'PFE')","('Johnson & Johnson', 'Pfizer Inc')",1.4340999975000004
"('VWO', 'ZNM21')","('Vanguard FTSE Emerging Markets ', '10 Year Treasury Note Future June 21')",1.43350002
"('ESGE', 'ESGU')","('iShares ESG Aware MSCI EM ETF', 'iShares ESG Aware MSCI USA ETF')",1.4228000010000001
"('ENB.TO', 'TRP.TO')","('Enbridge Inc', 'TC Energy Corp')",1.418199994
"('AAPL', 'CRM')","('Apple Inc', 'Salesforce.com Inc')",1.41740001
"('GOOGL', 'ADBE')","('Alphabet Inc A', 'Adobe Inc')",1.415199996
"('XLY', 'XLV')","('SPDR Select Sector Fund - Consu', 'SPDR Select Sector Fund - Healt')",1.400400001
"('VTI', 'GLDM')","('Vanguard Total Stock Market ETF', 'SPDR Gold MiniShares Trust')",1.40009995
"('INFY.BO', '00700')","('Infosys Ltd', 'Tencent Holdings Ltd')",1.3927999971000002
"('XLK', 'XLB')","('SPDR Select Sector Fund - Techn', 'Materials Select Sector SPDR')",1.38620001
"('PSA', 'PLD')","('Public Storage', 'Prologis Inc')",1.3801999995
"('NIO', '09988')","('NIO Inc ADR', 'Alibaba Group Holding Ltd Ordinary Shares')",1.3651
"('RELIANCE.B', 'INFY.BO')","('Reliance Industries Ltd Shs Dematerialised', 'Infosys Ltd')",1.3614999910000003
